day,all_feats,buildings,highways,amenities,new_features,uid,chapter
2015-01-01,,,,,,,
2015-01-02,,,,,,,
2015-01-03,,,,,,,
2015-01-04,,,,,,,
2015-01-05,,,,,,,
2015-01-06,,,,,,,
2015-01-07,89.85714285714286,21.857142857142858,40.57142857142857,3.857142857142857,39.285714285714285,2.0,2.0
2015-01-08,62.857142857142854,19.571428571428573,27.0,2.5714285714285716,33.42857142857143,1.5714285714285714,1.5714285714285714
2015-01-09,71.28571428571429,24.142857142857142,28.0,2.142857142857143,48.0,1.7142857142857142,1.7142857142857142
2015-01-10,59.42857142857143,20.857142857142858,28.142857142857142,0.8571428571428571,42.57142857142857,1.5714285714285714,1.5714285714285714
2015-01-11,83.42857142857143,43.857142857142854,29.857142857142858,0.5714285714285714,66.28571428571429,1.2857142857142858,1.2857142857142858
2015-01-12,78.42857142857143,45.714285714285715,22.857142857142858,0.7142857142857143,64.85714285714286,1.4285714285714286,1.2857142857142858
2015-01-13,111.28571428571429,58.42857142857143,42.142857142857146,1.0,79.57142857142857,1.8571428571428572,1.5714285714285714
2015-01-14,107.71428571428571,61.42857142857143,36.857142857142854,0.7142857142857143,78.28571428571429,2.0,1.7142857142857142
2015-01-15,114.14285714285714,62.285714285714285,40.285714285714285,1.0,82.0,2.0,1.7142857142857142
2015-01-16,121.0,56.142857142857146,47.285714285714285,3.857142857142857,80.42857142857143,2.142857142857143,1.8571428571428572
2015-01-17,115.85714285714286,55.42857142857143,43.142857142857146,4.714285714285714,74.71428571428571,2.2857142857142856,2.0
2015-01-18,107.0,35.857142857142854,49.0,5.714285714285714,59.857142857142854,2.5714285714285716,2.2857142857142856
2015-01-19,138.42857142857142,42.285714285714285,73.57142857142857,5.714285714285714,77.57142857142857,2.5714285714285716,2.4285714285714284
2015-01-20,109.0,35.285714285714285,51.857142857142854,5.714285714285714,68.14285714285714,2.5714285714285716,2.4285714285714284
2015-01-21,133.71428571428572,51.714285714285715,54.0,10.142857142857142,89.71428571428571,2.7142857142857144,2.5714285714285716
2015-01-22,204.14285714285714,79.71428571428571,73.85714285714286,9.857142857142858,142.71428571428572,3.4285714285714284,3.2857142857142856
2015-01-23,201.85714285714286,74.14285714285714,85.14285714285714,7.285714285714286,136.42857142857142,3.7142857142857144,3.4285714285714284
2015-01-24,244.42857142857142,84.57142857142857,104.57142857142857,6.428571428571429,169.57142857142858,4.0,3.7142857142857144
2015-01-25,254.28571428571428,90.57142857142857,112.42857142857143,5.428571428571429,179.57142857142858,4.0,3.7142857142857144
2015-01-26,226.57142857142858,84.14285714285714,87.14285714285714,5.857142857142857,165.14285714285714,4.285714285714286,4.0
2015-01-27,279.42857142857144,116.0,102.0,6.714285714285714,198.85714285714286,4.285714285714286,4.142857142857143
2015-01-28,251.57142857142858,95.71428571428571,99.71428571428571,2.5714285714285716,176.0,4.285714285714286,3.857142857142857
2015-01-29,175.85714285714286,67.0,76.85714285714286,2.857142857142857,119.71428571428571,3.7142857142857144,3.2857142857142856
2015-01-30,158.28571428571428,62.857142857142854,61.285714285714285,4.714285714285714,112.85714285714286,3.142857142857143,2.857142857142857
2015-01-31,111.71428571428571,51.285714285714285,40.142857142857146,4.714285714285714,78.0,2.857142857142857,2.5714285714285716
2015-02-01,85.14285714285714,41.0,25.714285714285715,4.714285714285714,57.0,2.5714285714285716,2.2857142857142856
2015-02-02,85.57142857142857,39.142857142857146,32.714285714285715,4.0,56.714285714285715,2.2857142857142856,2.0
2015-02-03,29.142857142857142,1.4285714285714286,16.571428571428573,4.714285714285714,20.142857142857142,1.8571428571428572,1.5714285714285714
